Месяц;Год;Дата;День недели;Начало;Конец;Длительность (ч:мм);Сумма, дин.;Автобус;Маршрут
Июль;2025;01.07.2025;Вторник;13:43;22:34;8 часов 51 минута;6195.02;54;311
Июль;2025;02.07.2025;Среда;;;;;54;311
Июль;2025;03.07.2025;Четверг;13:43;22:34;8 часов 51 минута;6195.02;54;311
Июль;2025;04.07.2025;Пятница;13:43;22:34;8 часов 51 минута;6195.02;54;311
Июль;2025;05.07.2025;Суббота;;;;;39;309
Июль;2025;06.07.2025;Воскресенье;11:47;19:14;7 часов 27 минут;5215.01;39;309
Июль;2025;07.07.2025;Понедельник;;;;;54;311
Июль;2025;08.07.2025;Вторник;;;;;54;311
Июль;2025;09.07.2025;Среда;;;;;54;311
Июль;2025;10.07.2025;Четверг;;;;;54;311
Июль;2025;11.07.2025;Пятница;;;;;54;311
Июль;2025;12.07.2025;Суббота;;;;;40;309
Июль;2025;13.07.2025;Воскресенье;;;;;40;309
Июль;2025;14.07.2025;Понедельник;;;;;51;311
Июль;2025;15.07.2025;Вторник;;;;;51;311
Июль;2025;16.07.2025;Среда;;;;;51;311
Июль;2025;17.07.2025;Четверг;;;;;51;311
Июль;2025;18.07.2025;Пятница;;;;;51;311
Июль;2025;19.07.2025;Суббота;;;;;39;309
Июль;2025;20.07.2025;Воскресенье;;;;;39;309
Июль;2025;21.07.2025;Понедельник;;;;;49;311
Июль;2025;22.07.2025;Вторник;15:04;23:19;8 часов 15 минут;5775.02;49;311
Июль;2025;23.07.2025;Среда;17:43;23:43;6 часов;4200.01;49;311
Июль;2025;24.07.2025;Четверг;17:43;23:43;6 часов;4200.01;49;311
Июль;2025;25.07.2025;Пятница;17:43;23:43;6 часов;4200.01;49;311
Июль;2025;26.07.2025;Суббота;;;;;40;309
Июль;2025;27.07.2025;Воскресенье;14:30;22:06;7 часов 36 минут;5320.02;40;309
Июль;2025;28.07.2025;Понедельник;15:12;00:23;9 часов 11 минут;6428.35;54;311
Июль;2025;29.07.2025;Вторник;15:12;00:23;9 часов 11 минут;6428.35;54;311
Июль;2025;30.07.2025;Среда;15:12;00:23;9 часов 11 минут;6428.35;54;311
Июль;2025;31.07.2025;Четверг;15:12;00:23;9 часов 11 минут;6428.35;54;311
